Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013687	1	0	0	7	0	1	1	0	0	4	0	1	0.89	0	2	3.557	1.831	0.604	0.545775977501713	NA	0	7.3582	5.3207	5.3207	TRUE	NA
FBtr0005088	10274	3376	3547	10798	3492	3754	5317	5058	4996	5514	4795	4657	5056.2	5124	4989	0.972	-0.041	-0.345	0.73009184777102	0.935742583417889	0.0011	0.0272	0.0101	0.0101	TRUE	NA
FBtr0006151	3	0	1	3	1	1	2	0	1	2	1	1	1.18	1	1	1.408	0.494	0.24	0.810577238121199	NA	0	5.5276	2.0853	2.0853	TRUE	NA
FBtr0070000	6	3	4	6	3	3	3	4	6	3	4	4	4.02	4	4	0.846	-0.241	-0.219	0.826396669521592	NA	0	1.6457	0.6144	0.6144	TRUE	NA
FBtr0070002	11	1	1	7	1	0	6	1	1	4	1	0	2.26	3	2	0.535	-0.902	-0.524	0.600243069626434	NA	0	2.9122	1.3453	1.3453	TRUE	NA
FBtr0070003	56	14	13	62	30	35	29	21	18	32	41	43	30.76	23	39	1.667	0.737	1.511	0.130804695365529	0.485740106152724	0	0.2378	0.1343	0.1343	TRUE	NA
FBtr0070006	184	157	108	171	116	121	95	235	152	87	159	150	146.55	161	132	0.838	-0.255	-0.927	0.353985336495856	0.747208517831785	0.0261	0.0704	0.0474	0.0474	TRUE	NA
FBtr0070007	1120	352	402	1054	412	435	580	527	566	538	566	540	552.81	558	548	0.981	-0.028	-0.181	0.856390256122005	0.969634874422195	0	0.0377	0.0154	0.0154	TRUE	NA
FBtr0070008	379	130	151	434	174	211	196	195	213	222	239	262	220.99	201	241	1.192	0.253	1.269	0.204511376976009	0.606020336497448	0	0.0554	0.0239	0.0239	TRUE	NA
FBtr0070025	1807	1106	1135	1643	1149	1068	935	1657	1599	839	1578	1325	1322.1	1397	1247	0.893	-0.163	-1.105	0.269283584635207	0.679121673888589	0.0043	0.0308	0.0148	0.0148	TRUE	NA
