Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4680	4083	697	183	220	7585	7011	5751	356	251	273	3537.91	6782	293	0.043	-4.537	-27.658	2.22875801022771e-168	3.94289579589385e-164	0.0099	0.0278	0.0175	0.0175	TRUE	NA
FBtr0100457	3087	885	832	236	55	53	1597	1326	1172	121	76	66	726.18	1365	88	0.063	-3.983	-19.501	1.06754217837713e-84	3.14764811294496e-81	0.0129	0.0349	0.0234	0.0234	TRUE	NA
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.22	1163	49	0.043	-4.55	-19.244	1.58113202751995e-82	3.49647583735693e-79	0.0132	0.0367	0.0296	0.0296	TRUE	NA
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.45	1224	53	0.042	-4.563	-19.048	6.81357835103368e-81	1.33932238453485e-77	0.0256	0.0361	0.0313	0.0313	TRUE	NA
FBtr0085094	101410	46896	59580	17936	10031	12131	52477	70256	83927	9159	13775	15050	40773.92	68887	12661	0.183	-2.452	-17.291	5.50629320597483e-67	8.85562119153643e-64	0.0071	0.0261	0.0144	0.0144	TRUE	NA
FBtr0074337	2035	1504	1138	148	85	70	1053	2253	1603	76	117	87	864.74	1636	93	0.059	-4.09	-16.906	4.05454800192962e-64	5.97741739184474e-61	0.04	0.0335	0.0366	0.0366	TRUE	NA
FBtr0077645	5327	1953	2038	666	157	166	2757	2926	2871	340	216	206	1552.48	2851	254	0.087	-3.516	-16.531	2.180467118584e-61	2.75533169963354e-58	0.0304	0.0301	0.0303	0.0303	TRUE	NA
FBtr0111030	6171	1226	985	666	132	170	3193	1837	1388	340	181	211	1191.64	2139	244	0.116	-3.107	-16.079	3.59128170925711e-58	4.23555764789784e-55	0.018	0.0314	0.0242	0.0242	TRUE	NA
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.5	615	50	0.081	-3.623	-16.043	6.4070468281422e-58	7.08419158979148e-55	0.0076	0.0455	0.0256	0.0256	TRUE	NA
FBtr0075753	7338	2708	2390	1327	535	573	3797	4057	3367	678	735	711	2224	3740	708	0.189	-2.404	-15.913	5.14802489000065e-57	5.35727696052951e-54	0.0061	0.0288	0.0156	0.0156	TRUE	NA
FBtr0089348	4028	1083	1041	791	192	201	2084	1622	1466	404	264	249	1015.03	1724	306	0.176	-2.51	-15.879	8.85788872111313e-57	8.70582829806735e-54	0.0044	0.0323	0.0158	0.0158	TRUE	NA
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.67	447	26	0.058	-4.103	-14.998	7.52563012824148e-51	7.00715382098527e-48	0	0.0535	0.034	0.034	TRUE	NA
FBtr0072393	1894	668	784	266	128	145	980	1001	1104	136	176	180	596.12	1028	164	0.157	-2.667	-14.881	4.4083626609674e-50	3.89941719175872e-47	0	0.0368	0.0195	0.0195	TRUE	NA
FBtr0302694	3011	1193	1189	564	252	314	1558	1787	1675	288	346	390	1007.31	1673	341	0.202	-2.304	-14.865	5.53259283702386e-50	4.66081427998996e-47	0.0032	0.0324	0.0155	0.0155	TRUE	NA
FBtr0310637	676	488	516	74	44	34	350	731	727	38	60	42	324.69	603	47	0.082	-3.609	-13.987	1.85854776781043e-44	1.31518274241337e-41	0.0253	0.046	0.0368	0.0368	TRUE	NA
FBtr0071835	712	282	257	51	25	28	368	422	362	26	34	35	208.01	384	32	0.081	-3.627	-13.902	6.12667601300792e-44	4.16873174408166e-41	0	0.0572	0.032	0.032	TRUE	NA
FBtr0113470	1730	560	550	123	76	61	895	839	775	63	104	76	458.63	836	81	0.095	-3.403	-13.886	7.66459743344918e-44	5.02201456278331e-41	0.0318	0.0401	0.0363	0.0363	TRUE	NA
FBtr0073421	11202	3237	3837	126	32	151	5797	4849	5405	64	44	187	2724.46	5350	98	0.018	-5.809	-13.126	2.33098606803041e-39	1.42198188032848e-36	0.3266	0.0283	0.1358	0.1358	TRUE	NA
FBtr0089484	1395	441	447	213	51	49	722	661	630	109	70	61	375.3	671	80	0.118	-3.086	-12.883	5.62628614207934e-38	3.31782093798419e-35	0	0.0433	0.0338	0.0338	TRUE	NA
FBtr0290019	6546	2254	2494	1907	616	815	3387	3377	3513	974	846	1011	2184.69	3426	944	0.276	-1.859	-12.829	1.12795565286861e-37	6.4369882112576e-35	0.0047	0.0289	0.0144	0.0144	TRUE	NA
FBtr0072956	13495	5765	5087	1100	962	905	6983	8637	7166	562	1321	1123	4298.55	7595	1002	0.125	-3.006	-12.468	1.11527629564567e-35	5.80304498419636e-33	0.0559	0.0274	0.0413	0.0413	TRUE	NA
FBtr0078144	10951	3766	2397	1164	483	449	5667	5642	3377	594	663	557	2750	4895	605	0.124	-3.01	-12.43	1.79193654385831e-35	9.05747125639927e-33	0.0547	0.0283	0.0413	0.0413	TRUE	NA
FBtr0332260	1986	872	973	561	304	315	1028	1306	1371	286	417	391	799.9	1235	365	0.294	-1.768	-12.019	2.80689872110025e-33	1.37935681319401e-30	6e-04	0.0341	0.0138	0.0138	TRUE	NA
FBtr0074916	835	373	574	112	42	38	432	559	809	57	58	47	326.91	600	54	0.093	-3.422	-11.65	2.30575632043609e-31	1.04592654012397e-28	0.0592	0.0459	0.0522	0.0522	TRUE	NA
FBtr0299968	2277	879	1073	492	294	283	1178	1317	1511	251	404	351	835.45	1335	335	0.247	-2.018	-11.433	2.8593271867598e-30	1.26460893152419e-27	0.0102	0.0337	0.0205	0.0205	TRUE	NA
FBtr0072087	1737	669	614	434	159	140	899	1002	865	222	218	174	563.28	922	205	0.222	-2.17	-11.343	7.99668113656854e-30	3.36831633302462e-27	0.0107	0.0375	0.0233	0.0233	TRUE	NA
FBtr0335024	11505	3314	2192	1655	561	471	5954	4965	3088	845	770	584	2700.99	4669	733	0.159	-2.654	-11.166	5.9620757860455e-29	2.29293658110719e-26	0.0517	0.0283	0.0398	0.0398	TRUE	NA
FBtr0083967	853	252	289	129	52	65	441	378	407	66	71	81	240.66	409	73	0.176	-2.507	-11.114	1.06862763686009e-28	4.02235989865783e-26	0.0062	0.053	0.0283	0.0283	TRUE	NA
FBtr0076459	537	186	188	51	25	31	278	279	265	26	34	38	153.37	274	33	0.117	-3.093	-11.04	2.45793598957296e-28	9.05903033156983e-26	0	0.0684	0.0393	0.0393	TRUE	NA
FBtr0308065	2958	770	925	935	214	264	1531	1154	1303	477	294	328	847.68	1329	366	0.273	-1.875	-11.01	3.40638980940646e-28	1.22984575751448e-25	0.0081	0.0336	0.019	0.019	TRUE	NA
FBtr0085156	1670	904	986	223	29	44	864	1354	1389	114	40	55	635.95	1202	70	0.055	-4.188	-10.705	9.60592032119004e-27	3.39876672804346e-24	0.1961	0.0362	0.1019	0.1019	TRUE	NA
FBtr0334282	323	123	139	24	5	10	167	184	196	12	7	12	96.46	182	10	0.06	-4.062	-10.538	5.76256862425408e-26	1.96049233714767e-23	0.0161	0.0935	0.0597	0.0597	TRUE	NA
FBtr0334328	4054	1306	1560	879	484	483	2098	1957	2197	449	665	599	1327.43	2084	571	0.27	-1.889	-10.303	6.82982210225449e-25	2.19684332383608e-22	0.0168	0.0308	0.0231	0.0231	TRUE	NA
