Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	4998	5276	31	34	85	4539	6864	6545	3016.26	50	5983	123.049	6.943	24.548	4.52084107640786e-133	3.99890997413657e-129	0.0936	0.0281	0.0466	0.0466	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2443	3051	3264	1635.49	351	2919	8.337	3.06	21.758	5.84785129089844e-105	3.44847790624281e-101	0.0012	0.0299	0.0125	0.0125	TRUE	NA
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.13	46	1350	28.719	4.844	21.379	2.11747446775154e-101	9.36506020224815e-98	0.0133	0.0353	0.025	0.025	TRUE	NA
FBtr0342806	149	79	82	2611	2446	2072	77	118	116	1333	3359	2571	1262.29	104	2421	22.17	4.471	20.289	1.6083000199723e-91	5.690487130666e-88	0.0284	0.0311	0.0297	0.0297	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1067	274	153	144	2813	1574	1324	1046.72	190	1904	9.962	3.316	19.422	4.9996898871719e-84	1.26356448277083e-80	0.0062	0.0321	0.0173	0.0173	TRUE	NA
FBtr0301964	145	145	135	1290	1125	1370	75	217	190	659	1545	1700	730.95	161	1301	8.232	3.041	17.827	4.32849366615398e-71	7.657538144793e-68	0.0031	0.0348	0.017	0.017	TRUE	NA
FBtr0342810	333	94	91	4643	1451	1093	172	141	128	2371	1993	1356	1026.8	147	1907	12.908	3.69	16.841	1.21899778397653e-63	1.65886844587144e-60	0.0285	0.0323	0.0303	0.0303	TRUE	NA
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.56	667	3442	5.176	2.372	14.297	2.26958814271173e-46	1.82505835603242e-43	0.0112	0.0291	0.0188	0.0188	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2109	498	397	341	2720	3138	2616	1618.45	412	2825	6.895	2.786	14.256	4.13761825951709e-46	3.1825480273529e-43	0.0224	0.0299	0.0259	0.0259	TRUE	NA
FBtr0301487	818	500	372	4779	3392	3782	423	749	524	2440	4658	4692	2247.79	565	3930	6.77	2.759	14.049	7.77334506332285e-45	5.72992697980186e-42	0.0247	0.0288	0.0267	0.0267	TRUE	NA
