Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	245.769	0	0
FBgn0267873	257	79.902	0	0
FBgn0267896	719	541.57	0.000307	0.001
FBgn0260225	1197	1019.18	0	0
FBgn0040928	1085	907.183	4.26184	26
FBgn0262789	532	354.672	0.838535	2
FBgn0058461	391	213.811	0.000915	0.001
FBgn0042701	620	442.632	0.006933	0.021
FBgn0263493	352	174.837	0.000767	0.001
FBgn0265917	359	181.834	0	0
FBgn0262163	610	432.639	0.68742	2
FBgn0085831	237	60.125	0	0
FBgn0267108	321	143.853	0.00093	0.001
FBgn0051032	770	592.55	13.0496	52
FBgn0266102	391	213.811	0.004178	0.006
FBgn0053867	526	348.678	0.986335	2.313
FBgn0267026	323	145.852	0	0
FBgn0267519	2689	2511.18	3551.48	59974.9
FBgn0058005	1227	1049.18	0.172772	1.219
FBgn0039979	803	625.531	7.01798	29.522
FBgn0053318	523	345.679	0	0
FBgn0053805	440	262.752	0.006368	0.011
FBgn0267419	780	602.545	0	0
FBgn0267892	760	582.552	0	0
FBgn0267902	582	404.65	0	0
FBgn0262964	777	599.546	0.49605	2
FBgn0085790	1041	863.183	0.332523	1.93
FBgn0267879	601	423.642	0	0
FBgn0085291	1130	952.183	0.144169	0.923
FBgn0263093	1195.9	1018.08	24.8848	170.371
FBgn0267952	1290	1112.18	0	0
FBgn0030117	636	458.614	0.088995	0.274
FBgn0058182	291	113.87	0	0
FBgn0052518	75	26.587	5.59314	1
FBgn0027934	1345	1167.18	0	0
FBgn0085340	423	245.769	0	0
FBgn0263744	845	667.499	0	0
FBgn0263210	221	45.592	0	0
FBtr0346869	123	58.615	3.09451	1.22
FBgn0267427	697	519.579	0	0
FBgn0263975	1131	953.183	3.58814	23
FBgn0267869	420	242.774	0.00022	0
FBgn0037560	956.774	779.221	47.8996	251
FBgn0263212	220	44.764	0	0
FBgn0085732	1478.87	1301.06	71.7744	627.982
FBgn0267593	610	432.639	0	0
FBgn0058100	394	216.806	7.59164	11.068
FBgn0264888	465	287.726	1.03364	2
FBgn0037143	1446	1268.18	0.234513	2
FBgn0262510	501	323.697	5.01705	10.921
FBgn0263771	276	98.884	0	0
FBgn0053315	421	243.772	0.610006	1
FBgn0050029	480	302.726	0	0
FBgn0085791	1041	863.183	0.037658	0.219
FBgn0085804	252	74.914	0	0
FBgn0267876	766	588.551	0	0
FBgn0267494	656	478.596	0	0
FBgn0085792	1211	1033.18	1.78457	12.399
FBgn0053013	2636	2458.18	0	0
FBgn0266211	1668	1490.18	1.29724	13
FBgn0265141	1303	1125.18	0	0
FBgn0051292	451.92	274.657	2.78098	5.137
FBgn0053294	1947.99	1770.17	2.85616	34
FBgn0000280	166	25.717	5.78216	1
FBgn0262885	102	43.856	0	0
FBgn0011812	456	278.734	0	0
FBgn0265533	403.316	226.104	0.000516	0.001
FBgn0052496	778	600.546	1.0497	4.239
FBgn0052009	3001.05	2823.23	1.30556	24.787
FBtr0347033	1076	898.183	0	0
FBgn0262688	493	315.703	0.47102	1
FBgn0053222	548.608	371.273	1.53804	3.84
FBgn0266940	581	403.651	0	0
FBgn0262565	802	624.532	0	0
FBgn0263002	361	183.833	0.808902	1
FBgn0084049	531	353.673	15.7656	37.497
FBgn0263211	352	174.837	0.000738	0.001
FBgn0267872	775	597.547	0	0
FBgn0262031	330	152.848	30.5161	31.367
FBgn0267014	274	96.886	6.17911	4.026
FBgn0039987	184	23.614	0	0
FBgn0261640	810	632.525	1.40806	5.989
FBgn0052761	71	24.198	0	0
FBgn0267863	274	96.886	0	0
FBgn0052034	74	25.986	0	0
FBgn0262795	735	557.563	0	0
FBgn0261856	450	272.739	1.09044	2
FBgn0051485	73	25.39	0	0
FBgn0267610	864	686.482	0	0
FBgn0262851	1188	1010.18	12.555	85.29
FBgn0053416	143	62.493	6.85672	2.882
FBgn0267520	357	179.835	4.23748	5.125
FBgn0085765	30	5.267	0	0
FBgn0267424	659	481.595	0	0
FBgn0030116	1305	1127.18	0.131924	1
FBgn0031135	363	185.831	0	0
FBgn0263213	224	48.142	0	0
FBgn0267878	266	88.891	0	0
FBgn0058441	177	22.489	0	0
FBgn0267864	485	307.708	0	0
FBgn0085500	687	509.585	0	0
FBgn0085784	479	301.715	0.002339	0.005
FBgn0262848	1188	1010.18	5.73348	38.949
FBgn0063924	307	129.859	0.000437	0
FBgn0262616	554	376.662	0	0
FBgn0267891	718	540.57	0.000307	0.001
FBgn0053491	369	191.827	0.002907	0.004
FBgn0050374	600	422.642	0	0
FBtr0347034	740	562.56	0	0
FBgn0267898	414	236.782	0.000207	0
FBgn0260469	924.139	746.605	1.08987	5.472
FBgn0267874	253	75.911	0	0
FBgn0030243	4727.4	4549.59	50.6384	1549.29
FBgn0032269	1867	1689.18	0	0
FBgn0266369	2930	2752.18	18.2084	337
FBgn0032596	774.161	596.708	133.574	536
FBgn0033770	715	537.571	0.276619	1
FBgn0259237	2786	2608.18	0	0
FBgn0013685	525	347.678	1.2831	3
FBgn0031021	768	590.55	83.3469	331
FBgn0033491	3329	3151.18	7.57744	160.575
FBgn0051141	961	783.438	0	0
FBgn0284082	778	600.546	0	0
FBgn0036396	1352	1174.18	7.97853	63
FBgn0036641	893.091	715.548	24.3145	117
FBgn0027594	4503.79	4325.98	211.677	6158
FBgn0261954	7915.45	7737.63	59.3455	3088
FBgn0029987	639	461.611	0.644276	2
FBgn0031660	1138.56	960.745	124.751	806
FBgn0038619	935.927	758.392	16.4704	84
FBgn0001341	3680	3502.18	8.74675	206
FBgn0037541	7058.86	6881.04	30.7847	1424.53
FBgn0016701	1188.07	1010.34	63.2878	430
FBgn0039110	1769.58	1591.77	54.4637	583
FBgn0038839	2837.5	2659.68	0	0
FBgn0264307	3670.08	3492.27	11.5848	272.067
FBgn0263355	3606.89	3429.07	56.184	1295.6
FBgn0032482	2180.38	2002.56	191.655	2580.99
FBgn0050082	843	665.501	1.11722	5
FBgn0033698	5896	5718.18	20.7261	797
FBgn0032240	530	352.674	133.859	317.471
FBgn0029925	1070	892.183	21.8341	131
FBgn0039017	1757	1579.18	7.43897	79
FBgn0259711	908	730.472	11.1964	55
FBgn0051140	6086.37	5908.55	8.40589	333.999
FBgn0036813	1221	1043.18	52.8849	371
FBgn0004379	2925.86	2748.05	22.7271	420
FBgn0036158	782	604.543	0	0
FBgn0031816	2033.25	1855.43	7.37329	92
FBgn0034923	1677.1	1499.28	24.1014	243
FBgn0039582	1151	973.183	0	0
FBgn0051635	6283.92	6106.1	12.6736	520.409
FBgn0263117	5200.16	5022.35	0.050076	1.692
FBgn0030259	717	539.57	0	0
FBgn0029858	1993.68	1815.87	12.6673	154.686
FBgn0260745	2901.71	2723.89	253.525	4644
FBgn0015791	1139.47	961.69	134.989	873
FBgn0051453	1588.42	1410.61	52.6033	499
FBgn0025574	2100.74	1922.92	17.5543	227
FBgn0039637	3175.13	2997.31	106.914	2155
FBgn0023095	4761.79	4583.97	1.91394	59
FBgn0014022	1444	1266.18	16.5593	141
FBgn0035134	1243	1065.18	0.279206	2
FBgn0044826	3680.66	3502.84	76.5834	1804
FBgn0030937	1405	1227.18	0	0
FBgn0085213	715	537.571	0	0
FBgn0039875	2420.12	2242.31	69.7652	1052
FBgn0037736	3954.88	3777.07	0.11811	3
FBgn0024732	2153	1975.18	19.4989	259
FBgn0053700	1116	938.183	0	0
FBgn0260747	999.251	821.652	292.283	1615
FBgn0038011	1767	1589.18	0	0
FBgn0066365	2733.69	2555.87	0.058815	1.011
FBgn0039863	5862.02	5684.21	38.3777	1467
FBgn0037721	827.287	649.795	0.915381	4
FBgn0036459	2408	2230.18	0	0
FBgn0038291	1731	1553.18	19.914	208
FBgn0001114	3261.94	3084.12	1426.31	29582
FBgn0262894	324	146.852	0	0
FBgn0015772	4895.47	4717.65	15.3505	487.001
