Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.844	0	0
FBgn0267873	257	83.964	0	0
FBgn0267896	719	545.675	0.002016	0.008
FBgn0260225	1197	1023.4	0	0
FBgn0040928	1085	911.402	2.99665	21
FBgn0262789	532	358.766	0.362505	1
FBgn0058461	391	217.88	0.821034	1.375
FBgn0042701	620	446.73	0.756842	2.6
FBgn0263493	352	178.906	0.00052	0.001
FBgn0265917	359	185.903	0	0
FBgn0262163	610	436.739	0	0
FBgn0085831	237	63.99	0	0
FBgn0267108	321	147.918	12.8425	14.606
FBgn0051032	770	596.658	12.4244	57
FBgn0266102	391	217.88	2.9764	4.986
FBgn0053867	526	352.77	0.020103	0.055
FBgn0267026	323	149.918	0	0
FBgn0267519	2689	2515.4	2391.13	46247.1
FBgn0058005	1227	1053.4	0.196532	1.592
FBgn0039979	803	629.639	8.20282	39.713
FBgn0053318	523	349.773	1.1747	3.159
FBgn0053805	440	266.829	0.851328	1.747
FBgn0267419	780	606.651	0	0
FBgn0267892	760	586.661	0	0
FBgn0267902	582	408.75	0.000275	0.001
FBgn0262964	777	603.654	0.861782	4
FBgn0085790	1041	867.402	0.202617	1.351
FBgn0267879	601	427.743	0.000576	0.002
FBgn0085291	1130	956.402	0.251651	1.851
FBgn0263093	1186.68	1013.08	34.462	268.446
FBgn0267952	1290	1116.4	0	0
FBgn0030117	636	462.706	0.035282	0.126
FBgn0058182	291	117.936	0	0
FBgn0052518	75	25.629	5.07454	1
FBgn0027934	1345	1171.4	0	0
FBgn0085340	423	249.844	0	0
FBgn0263744	845	671.611	0.193646	1
FBgn0263210	221	48.147	5.26124	1.948
FBtr0346869	123	48.894	18.8862	7.1
FBgn0267427	697	523.684	0	0
FBgn0263975	1131	957.402	2.71682	20
FBgn0267869	420	246.847	0.00065	0.001
FBgn0037560	966.303	792.863	46.749	285
FBgn0263212	220	47.186	0	0
FBgn0085732	1475.6	1302.01	68.937	690.144
FBgn0267593	610	436.739	0	0
FBgn0058100	394	220.877	7.61589	12.934
FBgn0264888	465	291.815	0	0
FBgn0037143	1446	1272.4	0	0
FBgn0262510	501	327.786	2.125	5.356
FBgn0263771	276	102.946	0	0
FBgn0053315	421	247.846	0.52474	1
FBgn0050029	480	306.81	0	0
FBgn0085791	1041	867.402	0.165548	1.104
FBgn0085804	252	78.969	0	0
FBgn0267876	766	592.658	0	0
FBgn0267494	656	482.695	0	0
FBgn0085792	1211	1037.4	3.21013	25.606
FBgn0053013	2636	2462.4	0	0
FBgn0266211	1668	1494.4	1.91461	22
FBgn0265141	1303	1129.4	0	0
FBgn0051292	435.526	262.364	0.018917	0.038
FBgn0053294	1991.38	1817.78	1.43092	20
FBgn0000280	166	13.142	19.7929	2
FBgn0262885	102	39.971	0	0
FBgn0011812	456	282.819	0.459851	1
