Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.422	0.000000	0.000
FBtr0300738	2350	2178.985	0.260964	4.756
FBtr0300739	2172	2000.985	0.409145	6.848
FBtr0300737	2184	2012.985	0.359049	6.046
FBtr0300736	2338	2166.985	0.287435	5.210
FBtr0078628	2467	2295.985	0.234788	4.509
FBtr0300740	2479	2307.985	0.216350	4.177
FBtr0078627	2301	2129.985	0.307529	5.479
FBtr0300741	2313	2141.985	0.277635	4.974
FBtr0072762	889	718.209	68.424384	411.068
FBtr0346821	1270	1098.985	3.792180	34.860
FBtr0331460	900	729.208	0.293013	1.787
FBtr0303848	5005	4833.985	5.048036	204.117
FBtr0086122	1465	1293.985	0.831498	9.000
FBtr0335147	3125	2953.985	2.337325	57.754
FBtr0081459	3019	2847.985	19.327908	460.442
FBtr0305321	6523	6351.985	0.474652	25.220
FBtr0083716	5665	5493.985	14.966150	687.780
FBtr0078184	1305	1133.985	0.316273	3.000
FBtr0081691	765	594.294	0.000000	0.000
FBtr0085263	1228	1056.985	0.339313	3.000
FBtr0086342	492	321.437	0.000000	0.000
FBtr0086343	495	324.433	0.000000	0.000
FBtr0091847	1023	851.985	1.342899	9.570
FBtr0072393	1393	1221.985	76.717244	784.171
FBtr0343502	867	696.217	0.443109	2.581
FBtr0343753	3569	3397.985	3.734451	106.145
FBtr0433525	3725	3553.985	0.254278	7.559
FBtr0113895	961	790.182	22.885608	151.266
FBtr0345179	887	716.209	49.196936	294.734
FBtr0334135	4703	4531.985	0.322411	12.222
FBtr0334137	4561	4389.985	0.751804	27.607
FBtr0334141	5321	5149.985	0.211179	9.097
FBtr0334139	4203	4031.985	0.571456	19.273
FBtr0334140	5704	5532.985	0.174415	8.072
FBtr0344148	4894	4722.985	0.276994	10.943
FBtr0334142	5071	4899.985	0.245195	10.050
FBtr0334138	5563	5391.985	0.186322	8.404
FBtr0334136	3862	3690.985	1.241545	38.332
FBtr0085105	995	824.131	4.206779	29.000
FBtr0346720	2745	2573.985	0.000000	0.000
FBtr0076089	442	271.459	0.000000	0.000
FBtr0087500	1417	1245.985	8.731250	91.000
FBtr0073094	1694	1522.985	5.936529	75.628
FBtr0073093	1577	1405.985	75.452396	887.372
FBtr0343515	1092	920.985	0.240865	1.856
FBtr0072451	975	804.153	8.644047	58.144
FBtr0071607	2252	2080.985	2.929874	51.000
FBtr0081516	4704	4532.985	0.105493	4.000
FBtr0300749	931	760.206	2.530129	16.089
FBtr0346532	1185	1013.985	0.146861	1.246
FBtr0073076	880	709.211	59.953414	355.665
FBtr0089289	4677	4505.985	1.161336	43.772
FBtr0100448	4590	4418.985	1.815019	67.090
