Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.704	0.000000	0.000
FBtr0300738	2350	2168.326	0.160064	3.065
FBtr0300739	2172	1990.326	0.267085	4.694
FBtr0300737	2184	2002.326	0.248272	4.390
FBtr0300736	2338	2156.326	0.168787	3.214
FBtr0078628	2467	2285.326	0.146486	2.956
FBtr0300740	2479	2297.326	0.139720	2.835
FBtr0078627	2301	2119.326	0.215779	4.039
FBtr0300741	2313	2131.326	0.203093	3.823
FBtr0072762	889	707.518	71.320694	445.623
FBtr0346821	1270	1088.326	4.047308	38.899
FBtr0331460	900	718.516	2.477847	15.723
FBtr0303848	5005	4823.326	8.304868	353.748
FBtr0086122	1465	1283.326	0.617655	7.000
FBtr0335147	3125	2943.326	2.213854	57.544
FBtr0081459	3019	2837.326	18.905884	473.719
FBtr0305321	6523	6341.326	1.273141	71.297
FBtr0083716	5665	5483.326	18.022186	872.703
FBtr0078184	1305	1123.326	0.604826	6.000
FBtr0081691	765	583.600	0.000000	0.000
FBtr0085263	1228	1046.326	0.000000	0.000
FBtr0086342	492	310.716	0.000000	0.000
FBtr0086343	495	313.714	0.000000	0.000
FBtr0091847	1023	841.326	1.424394	10.583
FBtr0072393	1393	1211.326	13.586240	145.337
FBtr0343502	867	685.528	0.770293	4.663
FBtr0343753	3569	3387.326	4.059612	121.439
FBtr0433525	3725	3543.326	0.164744	5.155
FBtr0113895	961	779.480	24.710571	170.099
FBtr0345179	887	705.518	46.529230	289.901
FBtr0334135	4703	4521.326	0.280154	11.186
FBtr0334137	4561	4379.326	0.444968	17.209
FBtr0334141	5321	5139.326	0.200383	9.095
FBtr0334139	4203	4021.326	0.500854	17.787
FBtr0334140	5704	5522.326	0.165403	8.066
FBtr0344148	4894	4712.326	0.263113	10.949
FBtr0334142	5071	4889.326	0.216250	9.337
FBtr0334138	5563	5381.326	0.176728	8.399
FBtr0334136	3862	3680.326	1.014483	32.972
FBtr0085105	995	813.453	9.465889	68.000
FBtr0346720	2745	2563.326	0.000000	0.000
FBtr0076089	442	260.755	0.000000	0.000
FBtr0087500	1417	1235.326	11.458125	125.000
FBtr0073094	1694	1512.326	6.595610	88.088
FBtr0073093	1577	1395.326	76.683323	944.912
FBtr0343515	1092	910.326	0.180731	1.453
FBtr0072451	975	793.463	10.210577	71.547
FBtr0071607	2252	2070.326	3.336385	61.000
FBtr0081516	4704	4522.326	0.150236	6.000
FBtr0300749	931	749.511	1.877920	12.430
FBtr0346532	1185	1003.326	0.502888	4.456
FBtr0073076	880	698.520	62.268262	384.114
FBtr0089289	4677	4495.326	0.850702	33.772
FBtr0100448	4590	4408.326	1.166338	45.406
FBtr0089290	4681	4499.326	1.097320	43.601
