Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.783	0.000000	0.000
FBtr0300738	2350	2176.402	0.185223	3.100
FBtr0300739	2172	1998.402	0.182237	2.800
FBtr0300737	2184	2010.402	0.228939	3.539
FBtr0300736	2338	2164.402	0.151903	2.528
FBtr0078628	2467	2293.402	0.136197	2.402
FBtr0300740	2479	2305.402	0.163465	2.898
FBtr0078627	2301	2127.402	0.159364	2.607
FBtr0300741	2313	2139.402	0.195513	3.216
FBtr0072762	889	715.595	75.691517	416.475
FBtr0346821	1270	1096.402	5.144043	43.366
FBtr0331460	900	726.592	0.331156	1.850
FBtr0303848	5005	4831.402	9.516136	353.515
FBtr0086122	1465	1291.402	0.604249	6.000
FBtr0335147	3125	2951.402	2.517719	57.136
FBtr0081459	3019	2845.402	19.632962	429.540
FBtr0305321	6523	6349.402	1.436806	70.146
FBtr0083716	5665	5491.402	20.269453	855.854
FBtr0078184	1305	1131.402	0.459800	4.000
FBtr0081691	765	591.658	0.108288	0.493
FBtr0085263	1228	1054.402	0.123344	1.000
FBtr0086342	492	318.792	0.000000	0.000
FBtr0086343	495	321.790	0.000000	0.000
FBtr0091847	1023	849.402	1.021132	6.669
FBtr0072393	1393	1219.402	13.629974	127.796
FBtr0343502	867	693.599	0.883126	4.710
FBtr0343753	3569	3395.402	4.014910	104.819
FBtr0433525	3725	3551.402	0.253220	6.915
FBtr0113895	961	787.568	28.402739	171.998
FBtr0345179	887	713.595	58.685786	322.002
FBtr0334135	4703	4529.402	0.290538	10.119
FBtr0334137	4561	4387.402	0.443021	14.945
FBtr0334141	5321	5147.402	0.206159	8.160
FBtr0334139	4203	4029.402	0.460001	14.252
FBtr0334140	5704	5530.402	0.193870	8.244
FBtr0344148	4894	4720.402	0.264621	9.605
FBtr0334142	5071	4897.402	0.228186	8.593
FBtr0334138	5563	5389.402	0.183401	7.600
FBtr0334136	3862	3688.402	1.251746	35.500
FBtr0085105	995	821.531	11.081534	70.000
FBtr0346720	2745	2571.402	0.000000	0.000
FBtr0076089	442	268.827	0.000000	0.000
FBtr0087500	1417	1243.402	12.865285	123.000
FBtr0073094	1694	1520.402	6.572760	76.839
FBtr0073093	1577	1403.402	72.483649	782.161
FBtr0343515	1092	918.402	0.234652	1.657
FBtr0072451	975	801.554	9.141821	56.343
FBtr0071607	2252	2078.402	2.815845	45.000
FBtr0081516	4704	4530.402	0.114828	4.000
FBtr0300749	931	757.584	0.687304	4.004
FBtr0346532	1185	1011.402	0.580512	4.514
FBtr0073076	880	706.595	67.453976	366.482
FBtr0089289	4677	4503.402	3.366669	116.578
FBtr0100448	4590	4416.402	1.549516	52.619
FBtr0089290	4681	4507.402	1.331553	46.149
FBtr0089288	4037	3863.402	7.707132	228.948
FBtr0100447	4417	4243.402	1.390582	45.372
FBtr0329933	4663	4489.402	1.292353	44.611
FBtr0336949	2826	2652.402	21.560880	439.724
FBtr0088786	1378	1204.402	75.290678	697.247
FBtr0088785	1869	1695.402	19.149509	249.634
FBtr0303077	607	433.740	0.000000	0.000
FBtr0339716	615	441.734	0.079878	0.271
FBtr0085459	600	426.743	79.155075	259.729
FBtr0070973	1218	1044.402	0.622627	5.000
FBtr0089252	2767	2593.402	2.429148	48.439
FBtr0334488	2840	2666.402	1.600510	32.814
FBtr0334489	2902	2728.402	1.625923	34.110
FBtr0100600	3804	3630.402	3.354418	93.637
FBtr0300305	309	135.923	0.000000	0.000
FBtr0077162	567	393.756	0.000000	0.000
FBtr0072277	713	539.678	57.836484	240.000
FBtr0344898	1082	908.402	0.000000	0.000
FBtr0086817	1175	1001.402	0.000000	0.000
FBtr0333271	5146	4972.402	0.743415	28.423
FBtr0072639	5149	4975.402	0.931625	35.640
FBtr0340000	824	650.630	1.987806	9.944
FBtr0087390	427	253.841	99.935918	195.056
FBtr0070472	3021	2847.402	2.881477	63.087
FBtr0331752	4499	4325.402	16.741430	556.792
FBtr0070475	3174	3000.402	6.802835	156.944
FBtr0070474	3218	3044.402	1.635575	38.287
FBtr0302185	2166	1992.402	1.431786	21.935
FBtr0070471	4805	4631.402	10.441694	371.841
FBtr0112828	2903	2729.402	4.814749	101.045
FBtr0301966	3182	3008.402	1.376112	31.832
FBtr0070468	3055	2881.402	7.684048	170.243
FBtr0070476	2745	2571.402	0.522019	10.321
FBtr0070470	3110	2936.402	1.833341	41.394
FBtr0331751	4750	4576.402	1.207759	42.499
FBtr0070469	4244	4070.402	12.013235	375.986
FBtr0070467	2929	2755.402	0.599095	12.693
FBtr0331753	5004	4830.402	0.639873	23.766
FBtr0070466	2847	2673.402	2.482782	51.036
FBtr0070473	3091	2917.402	2.614382	58.646
FBtr0076265	1575	1401.402	47.793502	514.998
FBtr0331935	1030	856.402	0.174316	1.148
FBtr0088237	816	642.634	97.920727	483.852
FBtr0081705	1363	1189.402	0.000000	0.000
FBtr0088524	1299	1125.402	87.018816	753.000
FBtr0074540	843	669.612	26.802887	138.000
FBtr0074494	1357	1183.402	0.659394	6.000
FBtr0085714	3349	3175.402	103.562495	2528.573
FBtr0085713	3440	3266.402	866.887074	21772.404
FBtr0076256	334	160.913	1.616460	2.000
FBtr0339552	1718	1544.402	12.333599	146.462
FBtr0078950	1533	1359.402	28.369953	296.538
FBtr0070990	1321	1147.402	1.329514	11.730
FBtr0100409	805	631.639	1.537704	7.468
FBtr0343330	706	532.680	107.143562	438.841
FBtr0304902	1617	1443.402	0.000000	0.000
FBtr0304901	2286	2112.402	0.061567	1.000
FBtr0078872	1228	1054.402	0.000000	0.000
FBtr0077839	2112	1938.402	13.671268	203.764
FBtr0077837	2331	2157.402	3.195380	53.006
FBtr0077838	2235	2061.402	3.694852	58.564
FBtr0077836	2325	2151.402	18.659171	308.666
FBtr0075133	4018	3844.402	0.588472	17.395
FBtr0332862	2190	2016.402	2.102957	32.605
FBtr0087988	1754	1580.402	164.753141	2002.052
FBtr0087987	1948	1774.402	473.980098	6466.753
FBtr0074688	1633	1459.402	52.310516	587.000
FBtr0086864	3503	3329.402	13.320297	341.000
FBtr0083361	1283	1109.402	0.000000	0.000
FBtr0392904	4164	3990.402	10.296720	315.929
FBtr0084588	2385	2211.402	78.463531	1334.166
FBtr0303161	2639	2465.402	17.343249	328.770
FBtr0079257	1918	1744.402	15.209307	204.000
FBtr0307341	906	732.589	0.058533	0.330
FBtr0084989	527	353.769	0.436008	1.186
FBtr0306309	750	576.663	0.032152	0.143
FBtr0344570	539	365.764	2.438296	6.857
FBtr0078090	1219	1045.402	32.843278	264.000
FBtr0087439	546	372.763	21.980285	63.000
FBtr0070960	2096	1922.402	0.069637	1.029
FBtr0302357	2296	2122.402	0.060925	0.994
FBtr0302356	2428	2254.402	0.056328	0.976
FBtr0340571	3830	3656.402	0.017784	0.500
FBtr0340572	3825	3651.402	0.017809	0.500
FBtr0080267	3305	3131.402	0.000000	0.000
FBtr0077141	787	613.650	0.000000	0.000
FBtr0306593	981	807.547	0.000000	0.000
FBtr0081719	1938	1764.402	80.049405	1086.000
FBtr0071549	1655	1481.402	33.360804	380.000
FBtr0308832	1068	894.402	8.113104	55.795
FBtr0308833	2043	1869.402	26.720122	384.074
FBtr0074921	2263	2089.402	8.846919	142.131
FBtr0073011	1996	1822.402	0.071364	1.000
FBtr0112378	450	276.824	0.000000	0.000
FBtr0342602	1596	1422.402	0.234513	2.565
FBtr0080326	1217	1043.402	92.556618	742.563
FBtr0085405	675	501.692	181.462541	700.000
FBtr0339295	331	157.915	0.000000	0.000
FBtr0300316	205	34.193	0.000000	0.000
FBtr0300904	2130	1956.402	0.033252	0.500
FBtr0081633	2196	2022.402	0.032140	0.500
FBtr0300905	2052	1878.402	0.000000	0.000
FBtr0335279	1234	1060.402	0.302862	2.469
