Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0075502	0	0	0	0	0	0
FBtr0300738	4.569	3.1	3.065	13.002	2.67	4.756
FBtr0300739	5.916	2.8	4.694	12.567	4.095	6.848
FBtr0300737	5.788	3.539	4.39	18.614	2.914	6.046
FBtr0300736	4.633	2.528	3.214	9.944	3.568	5.21
FBtr0078628	4.21	2.402	2.956	7.525	3.954	4.509
FBtr0300740	4.165	2.898	2.835	9.153	2.997	4.177
FBtr0078627	5.067	2.607	4.039	8.426	4.527	5.479
FBtr0300741	4.986	3.216	3.823	10.77	3.276	4.974
FBtr0072762	987.721	416.475	445.623	1160.393	292.174	411.068
FBtr0346821	106.888	43.366	38.899	130.828	30.964	34.86
FBtr0331460	61.113	1.85	15.723	40.029	10.289	1.787
FBtr0303848	818.382	353.515	353.748	765.785	249.537	204.117
FBtr0086122	18	6	7	26	4	9
FBtr0335147	61.412	57.136	57.544	61.887	56.739	57.754
FBtr0081459	1274.814	429.54	473.719	1522.469	416.043	460.442
FBtr0305321	98.216	70.146	71.297	132.976	52.109	25.22
FBtr0083716	2261.784	855.854	872.703	2166.014	781.891	687.78
FBtr0078184	11.024	4	6	11.026	1	3
FBtr0081691	0	0.493	0	0	0	0
FBtr0085263	3	1	0	5	0	3
FBtr0086342	0.93	0	0	0.93	0	0
FBtr0086343	0.07	0	0	0.07	0	0
FBtr0091847	21.718	6.669	10.583	18.4	11.153	9.57
FBtr0072393	266.345	127.796	145.337	1893.785	668.181	784.171
FBtr0343502	48.139	4.71	4.663	1.342	2.745	2.581
FBtr0343753	145.749	104.819	121.439	111.256	72.353	106.145
FBtr0433525	30.923	6.915	5.155	25.024	5.983	7.559
FBtr0113895	74.317	171.998	170.099	43.498	76.368	151.266
FBtr0345179	2523.629	322.002	289.901	1887.502	316.632	294.734
FBtr0334135	17.324	10.119	11.186	14.274	9.973	12.222
FBtr0334137	36.904	14.945	17.209	81.618	29.213	27.607
FBtr0334141	12.85	8.16	9.095	10.296	7.801	9.097
FBtr0334139	27.402	14.252	17.787	25.826	14.179	19.273
FBtr0334140	10.883	8.244	8.066	9.556	7.54	8.072
FBtr0344148	15.679	9.605	10.949	12.784	9.11	10.943
FBtr0334142	13.554	8.593	9.337	13.351	8.486	10.05
FBtr0334138	10.06	7.6	8.399	10.702	7.289	8.404
FBtr0334136	100.499	35.5	32.972	132.845	28.605	38.332
FBtr0085105	186	70	68	76	18	29
FBtr0346720	1	0	0	0	0	0
FBtr0076089	2	0	0	0	0	0
FBtr0087500	350	123	125	385	103	91
FBtr0073094	615.398	76.839	88.088	276.779	132.109	75.628
FBtr0073093	1499.602	782.161	944.912	1842.221	774.891	887.372
FBtr0343515	1.667	1.657	1.453	1.517	5.468	1.856
FBtr0072451	277.333	56.343	71.547	265.483	63.532	58.144
FBtr0071607	98	45	61	112	38	51
FBtr0081516	30	4	6	22	6	4
FBtr0300749	1.765	4.004	12.43	52.056	13.478	16.089
FBtr0346532	10.768	4.514	4.456	17.218	1.219	1.246
FBtr0073076	1119.467	366.482	384.114	1008.726	355.303	355.665
FBtr0089289	261.448	116.578	33.772	168.736	35.235	43.772
FBtr0100448	215.621	52.619	45.406	62.787	80.352	67.09
FBtr0089290	280.025	46.149	43.601	129.5	52.558	43.601
FBtr0089288	1363.401	228.948	333.287	1558.73	336.76	245.732
FBtr0100447	200.918	45.372	56.498	75.716	60.351	51.732
FBtr0329933	246.398	44.611	45.574	113.626	55.452	45.564
FBtr0336949	137.674	439.724	526.862	409.391	381.292	405.501
FBtr0088786	564.807	697.247	866.472	967.121	648.845	692.901
FBtr0088785	2443.189	249.634	173.583	2416.271	162.912	209.376
FBtr0303077	4	0	0	0	0	0
FBtr0339716	15.573	0.271	0.222	12.417	0.248	0.239
FBtr0085459	916.427	259.729	305.778	854.583	188.752	250.761
FBtr0070973	20	5	11	13	2	2
FBtr0089252	72.945	48.439	53.971	103.85	52.552	23.54
FBtr0334488	109.253	32.814	50.477	127.884	26.954	30.806
FBtr0334489	79.242	34.11	19.576	44.541	35.318	23.18
FBtr0100600	405.653	93.637	104.748	369.007	72.176	114.474
FBtr0300305	0	0	0	0	0	0
FBtr0077162	2	0	0	0	0	0
FBtr0072277	604	240	261	591	204	220
FBtr0344898	0	0	0	0	0	0
FBtr0086817	0	0	0	0	0	0
FBtr0333271	68.692	28.423	28.18	61.249	17.927	15.356
FBtr0072639	84.355	35.64	25.82	60.844	18.533	15.497
FBtr0340000	31.538	9.944	6.573	39.398	6.615	3.4
FBtr0087390	602.46	195.056	219.427	1564.601	481.385	606.6
FBtr0070472	119.606	63.087	71.281	184.117	56.59	52.482
FBtr0331752	1739.27	556.792	570.537	2055.405	781.601	586.145
FBtr0070475	429.866	156.944	193.005	274.977	138.979	152.887
FBtr0070474	38.481	38.287	14.43	54.667	21.828	29.907
FBtr0302185	53.346	21.935	30.707	28.682	19.104	6.646
FBtr0070471	697.125	371.841	412.206	707.954	368.615	323.954
FBtr0112828	177.82	101.045	114.288	303.471	141.997	130.119
FBtr0301966	128.667	31.832	25.146	53.217	24.925	17.53
FBtr0070468	581.556	170.243	236.457	126.726	195.056	224.997
FBtr0070476	11.714	10.321	8.646	11.956	12.193	12.199
FBtr0070470	74.968	41.394	37.259	61.866	32.875	31.52
FBtr0331751	36.777	42.499	52.94	63.84	26.318	34.419
FBtr0070469	2248.395	375.986	463.962	2270.046	458.775	311.764
FBtr0070467	7.67	12.693	11.801	7.444	8.394	10.57
FBtr0331753	207.652	23.766	47.084	204.794	42.218	21.622
FBtr0070466	82.846	51.036	37.093	876.384	46.722	89.875
FBtr0070473	50.529	58.646	42.158	49.854	40.516	35.418
FBtr0076265	1958.988	514.998	690	2068.992	521.999	575.999
FBtr0331935	4.846	1.148	1.112	1.03	1.129	1.16
FBtr0088237	1113.154	483.852	570.888	1277.97	382.871	499.84
FBtr0081705	0	0	0	0	0	0
FBtr0088524	1686	753	850	1393	561	652
FBtr0074540	340	138	142	378	104.968	109
FBtr0074494	11	6	4	11	3	3
FBtr0085714	2802.68	2528.573	3252.536	2557.934	2792.115	3452.446
FBtr0085713	58829.664	21772.404	24544.464	77727.025	25394.778	27788.554
FBtr0076256	9	2	4	8	2	4
FBtr0339552	761.509	146.462	137.842	503.234	121.43	146.342
FBtr0078950	524.491	296.538	331.158	673.766	278.57	264.658
FBtr0070990	38.692	11.73	13.09	31.655	9.146	7.233
FBtr0100409	1.554	7.468	2.279	1.101	3.159	3.848
FBtr0343330	988.856	438.841	503.643	1004.403	346.695	472.96
FBtr0304902	2	0	5.386	0.81	1.661	0.503
FBtr0304901	1	1	4.614	2.19	0.339	0.497
FBtr0078872	4	0	1	2	0	1
FBtr0077839	113.754	203.764	154.48	649.421	108.56	65.142
FBtr0077837	297.467	53.006	51.89	92.631	40.244	113.805
FBtr0077838	59.779	58.564	61.656	91.153	128.658	111.388
FBtr0077836	1304	308.666	480.974	937.795	239.538	282.666
FBtr0075133	161.185	17.395	13.737	113.642	11.827	22.066
FBtr0332862	81.06	32.605	65.263	288.77	97.173	72.934
FBtr0087988	463.266	2002.052	2395.264	2191.142	1723.769	1670.126
