Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.776	0	0
FBgn0267873	257	75.901	0	0
FBgn0267896	719	537.62	0.000253	0.001
FBgn0260225	1197	1015.33	0.02986	0.268
FBgn0040928	1085	903.326	3.63529	29
FBgn0262789	532	350.69	0.645791	2
FBgn0058461	391	209.815	0.643083	1.192
FBgn0042701	620	438.663	0.301757	1.169
FBgn0263493	352	170.836	0.000212	0
FBgn0265917	359	177.833	0	0
FBgn0262163	610	428.668	0.264158	1
FBgn0085831	237	55.993	0	0
FBgn0267108	321	139.848	0.000538	0.001
FBgn0051032	770	588.6	13.4668	70
FBgn0266102	391	209.815	2.28304	4.23
FBgn0053867	526	344.693	0.016135	0.049
FBgn0267026	323	141.847	0.000128	0
FBgn0267519	2689	2507.33	1853.05	41031
FBgn0058005	1227	1045.33	0.100392	0.927
FBgn0039979	803	621.581	7.77576	42.683
FBgn0053318	523	341.696	0.331395	1
FBgn0053805	440	258.755	0.003962	0.009
FBgn0267419	780	598.594	0	0
FBgn0267892	760	578.602	0.00026	0.001
FBgn0267902	582	400.676	0	0
FBgn0262964	777	595.595	0.190123	1
FBgn0085790	1041	859.326	0.486033	3.688
FBgn0267879	601	419.674	0	0
FBgn0085291	1130	948.326	0.081193	0.68
FBgn0263093	1194.62	1012.95	29.7658	266.268
FBgn0267952	1290	1108.33	0	0
FBgn0030117	636	454.642	0.067868	0.272
FBgn0058182	291	109.867	0	0
FBgn0052518	75	25.923	0	0
FBgn0027934	1345	1163.33	0	0
FBgn0085340	423	241.776	0	0
FBgn0263744	845	663.56	0	0
FBgn0263210	221	41.392	0	0
FBtr0346869	123	50.031	2.67058	1.18
FBgn0267427	697	515.627	0	0
FBgn0263975	1131	949.326	2.50489	21
FBgn0267869	420	238.779	0.000321	0.001
FBgn0037560	964.069	782.552	46.1596	319
FBgn0263212	220	40.579	0	0
FBgn0085732	1474.53	1292.85	80.6213	920.479
FBgn0267593	610	428.668	0	0
FBgn0058100	394	212.812	5.17102	9.718
FBgn0264888	465	283.74	0	0
FBgn0037143	1446	1264.33	0.089562	1
FBgn0262510	501	319.711	1.71715	4.848
FBgn0263771	276	94.883	0	0
FBgn0053315	421	239.778	0	0
FBgn0050029	480	298.737	0	0
FBgn0085791	1041	859.326	0.03601	0.273
FBgn0085804	252	70.907	0	0
FBgn0267876	766	584.6	0.00026	0.001
FBgn0267494	656	474.633	0	0
FBgn0085792	1211	1029.33	1.4281	12.982
FBgn0053013	2636	2454.33	0	0
FBgn0266211	1668	1486.33	1.75226	23
FBgn0265141	1303	1121.33	0	0
FBgn0051292	440.635	259.394	0.018733	0.043
FBgn0053294	1989.75	1808.08	2.693	43
FBgn0000280	166	13.289	0	0
FBgn0262885	102	39.76	0	0
FBgn0011812	456	274.744	0	0
FBgn0265533	384.5	203.308	0	0
FBgn0052496	778	596.594	1.73514	9.142
FBgn0052009	2998.19	2816.52	0.817133	20.324
FBtr0347033	1076	894.326	0	0
FBgn0262688	493	311.715	0	0
FBgn0053222	541.068	359.755	3.18071	10.106
FBgn0266940	581	399.676	0	0
FBgn0262565	802	620.581	0.182468	1
FBgn0263002	361	179.833	0	0
FBgn0084049	531	349.69	15.9572	49.278
FBgn0263211	352	170.836	0.000931	0.001
FBgn0267872	775	593.596	0.000261	0.001
FBgn0262031	330	148.843	39.8871	52.43
FBgn0267014	274	92.885	7.50018	6.152
FBgn0039987	184	16.611	0	0
FBgn0261640	810	628.577	0.619348	3.438
FBgn0052761	71	23.985	0	0
FBgn0267863	274	92.885	0	0
FBgn0052034	74	25.434	0	0
FBgn0262795	735	553.61	0	0
FBgn0261856	450	268.748	0.007021	0.017
FBgn0051485	73	24.942	0	0
FBgn0267610	864	682.53	0	0
FBgn0262851	1188	1006.33	9.18539	81.63
FBgn0053416	143	54.686	0	0
FBgn0267520	357	175.834	1.60295	2.489
FBgn0085765	30	10.724	0	0
FBgn0267424	659	477.632	0	0
FBgn0030116	1305	1123.33	0	0
FBgn0031135	363	181.832	0	0
FBgn0263213	224	43.907	0	0
FBgn0267878	266	84.893	0	0
FBgn0058441	177	13.628	0	0
FBgn0267864	485	303.723	0.00015	0
FBgn0085500	687	505.631	0	0
FBgn0085784	479	297.73	0.003539	0.009
FBgn0262848	1188	1006.33	9.243	82.142
FBgn0063924	307	125.854	1.52364	1.693
FBgn0262616	554	372.684	0	0
FBgn0267891	718	536.62	0.00051	0.002
FBgn0053491	369	187.829	0.002316	0.004
FBgn0050374	600	418.674	1.62278	6
FBtr0347034	740	558.606	0	0
FBgn0267898	414	232.786	0.000301	0.001
FBgn0260469	919.053	737.566	0.556861	3.627
FBgn0267874	253	71.906	0	0
FBgn0030243	4715.1	4533.43	34.6945	1389
FBgn0032269	1866.98	1685.3	0.06719	1
FBgn0266369	2930	2748.33	20.6009	500
FBgn0032596	776.497	595.093	186.858	982
FBgn0033770	673	491.635	0	0
FBgn0259237	2786	2604.33	0	0
FBgn0013685	525	343.694	1.97681	6
FBgn0031021	768	586.6	59.2626	307
FBgn0033491	3329	3147.33	6.02891	167.57
FBgn0051141	961	779.48	0	0
FBgn0284082	778	596.594	0	0
FBgn0036396	1352	1170.33	8.46855	87.525
FBgn0036641	882.806	701.322	39.0735	242
FBgn0027594	4471.83	4290.15	133.107	5043
FBgn0261954	7820.63	7638.96	48.1153	3245.88
FBgn0029987	639	457.641	0.989738	4
FBgn0031660	1138.35	956.679	151.506	1280
FBgn0038619	938.053	756.562	20.2057	135
FBgn0001341	3680	3498.33	8.22164	254
FBgn0037541	7050.09	6868.42	27.7847	1685.3
FBgn0016701	1149.01	967.408	61.803	528
FBgn0039110	1769.52	1587.85	67.178	942
FBgn0038839	2837.5	2655.83	0	0
FBgn0264307	3337.7	3156.02	9.39252	261.78
FBgn0263355	3558.28	3376.61	38.9604	1161.77
FBgn0032482	2176.61	1994.94	155.584	2741
FBgn0050082	843	661.561	0	0
FBgn0033698	5896	5714.33	20.1134	1015
FBgn0032240	530	348.69	141.857	436.822
FBgn0029925	1070	888.326	25.2393	198
FBgn0039017	1757	1575.33	7.9788	111
FBgn0259711	908	726.516	12.6248	81
FBgn0051140	5736.26	5554.58	7.60401	372.999
FBgn0036813	1221	1039.33	49.0282	450
FBgn0004379	2915.55	2733.88	24.8518	600
FBgn0036158	782	600.592	0	0
FBgn0031816	1999.27	1817.59	12.6469	203
FBgn0034923	1674.67	1493	30.9835	408.511
FBgn0039582	1151	969.326	0	0
FBgn0051635	6335.66	6153.98	9.86265	536
FBgn0263117	5200.04	5018.37	0.052923	2.345
FBgn0030259	717	535.62	0.211411	1
FBgn0029858	2037.72	1856.04	12.572	206.066
FBgn0260745	2912.74	2731.07	180.361	4350
FBgn0015791	1154.69	973.02	136.276	1171
FBgn0051453	1564.84	1383.17	67.8679	829
FBgn0025574	2069.41	1887.73	21.2948	355
FBgn0039637	3177.64	2995.96	77.898	2061
FBgn0023095	4718.25	4536.57	1.49764	60
FBgn0014022	1444	1262.33	16.4159	183
FBgn0035134	1243	1061.33	1.17362	11
FBgn0044826	3595.89	3414.22	70.1793	2116
FBgn0030937	1405	1223.33	0	0
FBgn0085213	715	533.621	0.212203	1
FBgn0039875	2415.74	2234.06	69.8963	1379
FBgn0037736	4032.31	3850.64	0.235257	8
FBgn0024732	2153	1971.33	21.0236	366
FBgn0053700	1116	934.326	0	0
FBgn0260747	999.567	818.018	230.62	1666
FBgn0038011	1767	1585.33	0	0
FBgn0066365	2783.6	2601.92	0.04352	1
FBgn0039863	5863.37	5681.69	36.6114	1837
FBgn0037721	843.323	661.885	1.36865	8
FBgn0036459	2408	2226.33	0	0
FBgn0038291	1731	1549.33	14.9098	204
FBgn0001114	3262.38	3080.71	1023.7	27850.9
FBgn0262894	324	142.847	0	0
FBgn0015772	4933.21	4751.54	13.298	558
FBgn0030873	1712.47	1530.79	96.4597	1304
FBgn0086675	7201.87	7020.2	0.126203	7.823
FBgn0038223	4231.17	4049.49	10.9284	390.818
FBgn0027081	2317.86	2136.18	233.079	4397
FBgn0043458	3245.13	3063.45	58.5689	1584.51
FBgn0262010	471	289.736	0	0
FBgn0259963	337	155.84	0	0
FBgn0010238	2156	1974.33	115.225	2009
FBgn0034184	3037.93	2856.26	34.9668	882
FBgn0000018	1794	1612.33	21.4206	305
FBgn0032809	910	728.516	1.24347	8
FBgn0036605	513	331.702	0.588326	1.723
FBgn0052280	1130.99	949.32	41.7485	350
FBgn0000055	1194.27	1012.59	0.178471	1.596
FBgn0033657	3918	3736.33	0.121227	4
FBgn0035421	1684	1502.33	21.6323	287
FBgn0030666	1632.47	1450.8	0.709405	9.089
FBgn0011202	4117.09	3935.42	37.0892	1289
FBgn0050091	1681	1499.33	0.075525	1
FBgn0033260	3382.63	3200.95	33.9961	961
FBgn0283427	8586.51	8404.84	838.139	62210
FBgn0033740	2221.35	2039.67	18.7647	338
FBgn0011725	2758.79	2577.11	27.6333	628.899
FBgn0034377	761	579.601	0.586107	3
FBgn0284248	680.993	499.624	810.248	3575
FBgn0040674	712.5	531.105	0	0
FBgn0036323	1637	1455.33	0	0
FBgn0038260	1973	1791.33	2.40212	38
FBgn0034617	1987	1805.33	11.9174	190
FBgn0262018	7567	7385.33	0	0
FBgn0031873	840	658.564	22.0089	128
FBgn0032366	866	684.528	0	0
FBgn0035241	4589.19	4407.52	0.721002	28.064
FBgn0260049	2272.13	2090.46	170.738	3152
FBgn0015558	4438.56	4256.89	0.665017	25.001
FBgn0267875	162	16.844	0	0
FBgn0003870	4166.42	3984.74	29.8951	1052
FBgn0053061	1277.9	1096.23	0.103297	1
FBgn0041181	4928	4746.33	0.023858	1
FBgn0039778	933	751.511	0	0
FBgn0014455	1600.81	1419.14	247.994	3108
FBgn0030462	936.667	755.163	0	0
FBgn0051832	762	580.601	0	0
FBgn0000259	1573.71	1392.11	124.194	1526.82
FBgn0261581	717.5	536.108	0	0
FBgn0039271	836	654.565	8.47673	49
FBgn0031463	1194	1012.33	0	0
FBgn0014006	4618.71	4437.04	32.6665	1280
FBgn0037150	1456	1274.33	15.195	171
FBgn0030294	1628	1446.33	12.8399	164
FBgn0036039	2150.55	1968.87	13.9686	242.876
FBgn0029676	2017.34	1835.67	72.4831	1175.02
FBgn0037475	1444.5	1262.83	0	0
FBgn0052076	1529	1347.33	27.987	333
FBgn0058354	1400	1218.33	2.85027	30.667
FBgn0033738	3602.56	3420.89	41.4761	1253
FBgn0064126	1580.04	1398.36	46.9167	579.379
FBgn0039115	970	788.47	18.1686	126.509
FBgn0010356	2362	2180.33	20.7222	399
FBgn0051100	2434.88	2253.2	0.100511	2
FBgn0263249	318	136.85	0	0
FBgn0039635	1174.92	993.311	186.73	1638
FBgn0050010	708.596	527.219	4.2956	20
FBgn0034495	1429	1247.33	16.1594	178
FBgn0005617	3840.15	3658.48	28.5684	923
FBgn0030703	1448.26	1266.59	111.038	1242
FBgn0036574	4095.14	3913.47	15.1526	523.676
FBgn0038742	1418	1236.33	82.2486	898
FBgn0003162	1642.04	1460.37	5.81546	75
FBgn0046999	672	490.632	0.230797	1
FBgn0037345	831	649.567	18.6528	107
FBgn0037050	1511.9	1330.23	10.6407	125
FBgn0029783	1121.45	939.772	8.796	73
FBgn0261269	3722.33	3540.65	5.30896	166
FBgn0264270	2291.47	2109.8	47.176	878.975
FBgn0259822	5700.65	5518.98	0.022154	1.079
FBgn0034035	1562	1380.33	30.1071	367
FBgn0039270	868	686.528	12.8654	78
FBgn0031626	1990	1808.33	0	0
FBgn0051324	1936.55	1754.88	54.1866	839.756
FBgn0260858	1469	1287.33	51.4579	585
FBgn0031874	1728.72	1547.05	5.93132	81.034
FBgn0262719	7923.37	7741.69	0.292742	20.014
FBgn0082831	6729.16	6547.49	31.3724	1814
FBgn0259239	3472.1	3290.42	0.103242	3
FBgn0036146	755	573.603	4.73273	23.974
FBgn0035073	3322	3140.33	15.7401	436.514
FBgn0020371	789	607.588	0	0
FBgn0032845	1542.66	1360.99	5.4913	66
FBgn0283651	4406.85	4225.18	0.670009	25
FBgn0267824	2632	2450.33	33.8729	732.979
FBgn0069973	900.181	718.695	16.386	104
FBgn0036301	1709	1527.33	17.5712	237
FBgn0265048	4744	4562.33	163.066	6570
FBgn0261057	237.5	57.1485	0	0
FBgn0052564	1448	1266.33	0.089421	1
FBgn0030797	1039.42	857.91	14.6151	110.729
FBgn0001296	2185.25	2003.58	4.06922	72
FBgn0259972	1093	911.326	0.152975	1.231
FBgn0053986	871	689.526	0	0
FBgn0032435	2743	2561.33	0.08842	2
FBgn0033905	1134.29	952.619	20.8019	175
FBgn0029539	639.555	458.196	0.000299	0.002
FBgn0030502	2962.96	2781.29	73.9449	1816.22
FBgn0032554	1230	1048.41	0	0
FBgn0036410	2288.73	2107.06	0.483673	9
FBgn0025390	6068.88	5887.2	3.77284	196.151
FBgn0038394	1047	865.326	1.06182	8.114
FBgn0029715	1083.41	901.737	69.9456	557
FBgn0034911	6361	6179.33	0.18325	10
FBgn0026063	2066	1884.33	1.09482	18.219
FBgn0032375	787.575	606.165	0.186807	1
