Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.474	0	0
FBgn0267873	257	86.593	0	0
FBgn0267896	719	548.319	0.001091	0.005
FBgn0260225	1197	1025.98	0.057915	0.497
FBgn0040928	1085	913.985	2.74681	21
FBgn0262789	532	361.401	0	0
FBgn0058461	391	220.513	1.18574	2.187
FBgn0042701	620	449.371	1.69708	6.379
FBgn0263493	352	181.541	0.00028	0
FBgn0265917	359	188.539	0	0
FBgn0262163	610	439.379	0	0
FBgn0085831	237	66.607	0	0
FBgn0267108	321	150.554	4.31637	5.436
FBgn0051032	770	599.29	8.77735	44
FBgn0266102	391	220.513	0.005056	0.009
FBgn0053867	526	355.407	0.819882	2.437
FBgn0267026	323	152.553	0	0
FBgn0267519	2689	2517.99	2112.38	44491.6
FBgn0058005	1227	1055.98	0.536603	4.74
FBgn0039979	803	632.273	6.99216	36.98
FBgn0053318	523	352.411	0.678466	2
FBgn0053805	440	269.46	0.006566	0.015
FBgn0267419	780	609.284	0	0
FBgn0267892	760	589.297	0.000275	0.001
FBgn0267902	582	411.383	0.000228	0.001
FBgn0262964	777	606.286	0.197183	1
FBgn0085790	1041	869.985	0.151331	1.101
FBgn0267879	601	430.38	0.000236	0.001
FBgn0085291	1130	958.985	0.102327	0.821
FBgn0263093	1190.95	1019.93	16.939	144.514
FBgn0267952	1290	1118.98	0.106837	1
FBgn0030117	636	465.351	0.046057	0.179
FBgn0058182	291	120.568	1.02281	1.032
FBgn0052518	75	25.833	0	0
FBgn0027934	1345	1173.98	0	0
FBgn0085340	423	252.474	0	0
FBgn0263744	845	674.239	0.17731	1
FBgn0263210	221	50.642	3.60034	1.525
FBtr0346869	123	48.052	24.7537	9.95
FBgn0267427	697	526.33	0	0
FBgn0263975	1131	959.985	2.49065	20
FBgn0267869	420	249.477	0.000494	0.001
FBgn0037560	962.885	792.056	49.205	326
FBgn0263212	220	49.648	0	0
FBgn0085732	1466.78	1295.77	57.1823	619.784
FBgn0267593	610	439.379	0	0
FBgn0058100	394	223.509	4.30326	8.045
FBgn0264888	465	294.449	0.40601	1
FBgn0037143	1446	1274.98	0	0
FBgn0262510	501	330.427	2.6771	7.399
FBgn0263771	276	105.582	0	0
FBgn0053315	421	250.476	0	0
FBgn0050029	480	309.439	0	0
FBgn0085791	1041	869.985	0.133178	0.969
FBgn0085804	252	81.596	0	0
FBgn0267876	766	595.293	0.000276	0.001
FBgn0267494	656	485.342	0	0
FBgn0085792	1211	1039.98	1.92209	16.721
FBgn0053013	2636	2464.99	0	0
FBgn0266211	1668	1496.98	0.958322	12
FBgn0265141	1303	1131.98	0	0
FBgn0051292	441.492	270.957	0.020035	0.046
FBgn0053294	1972.66	1801.64	2.32246	35
FBgn0000280	166	11.985	0	0
FBgn0262885	102	39.107	0	0
FBgn0011812	456	285.454	0	0
FBgn0265533	402.055	231.548	0.00042	0.001
FBgn0052496	778	607.286	2.00634	10.192
FBgn0052009	2998.75	2827.74	0.510221	12.068
FBtr0347033	1076	904.985	0	0
FBgn0262688	493	322.435	0.37077	1
FBgn0053222	541.117	370.513	2.16982	6.724
FBgn0266940	581	410.383	0	0
FBgn0262565	802	631.273	0	0
FBgn0263002	361	190.536	0	0
FBgn0084049	531	360.402	15.395	46.411
FBgn0263211	352	181.541	1.47479	2.24
FBgn0267872	775	604.287	0.000552	0.003
FBgn0262031	330	159.55	31.0642	41.458
FBgn0267014	274	103.583	4.6654	4.042
FBgn0039987	184	20.083	0	0
FBgn0261640	810	639.269	0.564349	3.018
FBgn0052761	71	24.169	0	0
FBgn0267863	274	103.583	0	0
FBgn0052034	74	25.382	0	0
FBgn0262795	735	564.307	0	0
FBgn0261856	450	279.455	0.427795	1
FBgn0051485	73	24.962	0	0
FBgn0267610	864	693.219	0	0
FBgn0262851	1188	1016.99	5.79257	49.276
FBgn0053416	143	39.62	0	0
FBgn0267520	357	186.54	2.83111	4.418
FBgn0085765	30	10.661	0	0
FBgn0267424	659	488.341	0	0
FBgn0030116	1305	1133.98	0	0
FBgn0031135	363	192.535	0.620922	1
FBgn0263213	224	53.63	0	0
FBgn0267878	266	95.589	0	0
FBgn0058441	177	16.305	0	0
FBgn0267864	485	314.442	0	0
FBgn0085500	687	516.334	0.000264	0.001
FBgn0085784	479	308.445	0.001874	0.005
FBgn0262848	1188	1016.99	16.0825	136.811
FBgn0063924	307	136.559	0.000565	0.001
FBgn0262616	554	383.391	0.311821	1
FBgn0267891	718	547.319	0.000814	0.004
FBgn0053491	369	198.534	9.98891	16.588
FBgn0050374	600	429.38	0.278423	1
FBtr0347034	740	569.303	0	0
FBgn0267898	414	243.483	0.000466	0.001
FBgn0260469	924.037	753.243	0.419473	2.643
FBgn0267874	253	82.595	0	0
FBgn0030243	4726.94	4555.93	37.7051	1436.91
FBgn0032269	1867	1695.98	0	0
FBgn0266369	2930	2758.99	17.0724	394
FBgn0032596	775.689	604.975	150.975	764
FBgn0033770	666.099	495.44	0.2413	1
FBgn0259237	2786	2614.99	0	0
FBgn0013685	525	354.409	0	0
FBgn0031021	768	597.291	72.2023	360.736
FBgn0033491	3329	3157.99	6.58699	174
FBgn0051141	961	790.182	0.151294	1
FBgn0284082	778	607.286	0.196859	1
FBgn0036396	1352	1180.98	7.08601	70
FBgn0036641	885.246	714.45	25.2669	151
FBgn0027594	4492.94	4321.92	162.343	5869
FBgn0261954	7896.03	7725.02	42.4651	2744
FBgn0029987	639	468.349	0.255257	1
FBgn0031660	1140.23	969.215	131.488	1066
FBgn0038619	939.877	769.08	21.2959	137
FBgn0001341	3680	3508.99	7.4953	220
FBgn0037541	7048.74	6877.72	25.127	1445.57
FBgn0016701	1124.88	953.961	65.6672	524
FBgn0039110	1769.5	1598.49	53.8711	720.308
FBgn0038839	2837.5	2666.49	0	0
FBgn0264307	3661.07	3490.05	9.24626	269.93
FBgn0263355	3593.55	3422.54	43.7361	1252.11
FBgn0032482	2180.39	2009.38	184.317	3097.98
FBgn0050082	843	672.241	0.355675	2
FBgn0033698	5896	5724.98	16.1418	773
FBgn0032240	530	359.403	140.385	422.042
FBgn0029925	1070	898.985	23.272	175
FBgn0039017	1757	1585.98	6.33181	84
FBgn0259711	908	737.207	9.56776	59
FBgn0051140	5817.49	5646.47	5.94971	281.012
FBgn0036813	1221	1049.98	46.4542	408
FBgn0004379	2923.47	2752.45	20.8482	480
FBgn0036158	782	611.281	0	0
FBgn0031816	2037.16	1866.14	6.9828	109
FBgn0034923	1676.2	1505.19	23.0333	290
FBgn0039582	1151	979.985	0	0
FBgn0051635	6337.42	6166.41	9.66413	498.48
FBgn0263117	5200.04	5029.02	0.057736	2.429
FBgn0030259	717	546.319	0	0
FBgn0029858	1970.73	1799.71	10.0699	151.593
FBgn0260745	2899.09	2728.08	232.081	5296
FBgn0015791	1157.03	986.016	115.668	953.999
FBgn0051453	1609.53	1438.51	46.7888	563
FBgn0025574	1987.82	1816.81	15.1345	230
FBgn0039637	3172.42	3001.41	102.724	2579
FBgn0023095	4717.42	4546.4	1.52513	58
FBgn0014022	1444	1272.98	14.6504	156
FBgn0035134	1243	1071.98	0.446087	4
FBgn0044826	3594.86	3423.85	62.047	1777
FBgn0030937	1405	1233.98	0	0
FBgn0085213	715	544.32	0.219631	1
